"CustomerID","FullName","Email","Country","CreatedAt"
"1","Customer 1","cust1@example.com","Australia","12/29/2025 00:00:00"
"2","Customer 2","cust2@example.com","Belgium","12/26/2025 00:00:00"
"3","Customer 3","cust3@example.com","Brazil","12/23/2025 00:00:00"
"4","Customer 4","cust4@example.com","Canada","12/20/2025 00:00:00"
"5","Customer 5","cust5@example.com","Germany","12/17/2025 00:00:00"
"6","Customer 6","cust6@example.com","Denmark","12/14/2025 00:00:00"
"7","Customer 7","cust7@example.com","Spain","12/11/2025 00:00:00"
"8","Customer 8","cust8@example.com","Finland","12/08/2025 00:00:00"
"9","Customer 9","cust9@example.com","France","12/05/2025 00:00:00"
"10","Customer 10","cust10@example.com","United Kingdom","12/02/2025 00:00:00"
"11","Customer 11","cust11@example.com","India","11/29/2025 00:00:00"
"12","Customer 12","cust12@example.com","Italy","11/26/2025 00:00:00"
"13","Customer 13","cust13@example.com","Japan","11/23/2025 00:00:00"
"14","Customer 14","cust14@example.com","Mexico","11/20/2025 00:00:00"
"15","Customer 15","cust15@example.com","Netherlands","11/17/2025 00:00:00"
"16","Customer 16","cust16@example.com","Norway","11/14/2025 00:00:00"
"17","Customer 17","cust17@example.com","New Zealand","11/11/2025 00:00:00"
"18","Customer 18","cust18@example.com","Sweden","11/08/2025 00:00:00"
"19","Customer 19","cust19@example.com","United States","11/05/2025 00:00:00"
"20","Customer 20","cust20@example.com","South Africa","11/02/2025 00:00:00"
"21","Customer 21","cust21@example.com","Australia","10/30/2025 00:00:00"
"22","Customer 22","cust22@example.com","Belgium","10/27/2025 00:00:00"
"23","Customer 23","cust23@example.com","Brazil","10/24/2025 00:00:00"
"24","Customer 24","cust24@example.com","Canada","10/21/2025 00:00:00"
"25","Customer 25","cust25@example.com","Germany","10/18/2025 00:00:00"
"26","Customer 26","cust26@example.com","Denmark","10/15/2025 00:00:00"
"27","Customer 27","cust27@example.com","Spain","10/12/2025 00:00:00"
"28","Customer 28","cust28@example.com","Finland","10/09/2025 00:00:00"
"29","Customer 29","cust29@example.com","France","10/06/2025 00:00:00"
"30","Customer 30","cust30@example.com","United Kingdom","10/03/2025 00:00:00"
"31","Customer 31","cust31@example.com","India","09/30/2025 00:00:00"
"32","Customer 32","cust32@example.com","Italy","09/27/2025 00:00:00"
"33","Customer 33","cust33@example.com","Japan","09/24/2025 00:00:00"
"34","Customer 34","cust34@example.com","Mexico","09/21/2025 00:00:00"
"35","Customer 35","cust35@example.com","Netherlands","09/18/2025 00:00:00"
"36","Customer 36","cust36@example.com","Norway","09/15/2025 00:00:00"
"37","Customer 37","cust37@example.com","New Zealand","09/12/2025 00:00:00"
"38","Customer 38","cust38@example.com","Sweden","09/09/2025 00:00:00"
"39","Customer 39","cust39@example.com","United States","09/06/2025 00:00:00"
"40","Customer 40","cust40@example.com","South Africa","09/03/2025 00:00:00"
"41","Customer 41","cust41@example.com","Australia","08/31/2025 00:00:00"
"42","Customer 42","cust42@example.com","Belgium","08/28/2025 00:00:00"
"43","Customer 43","cust43@example.com","Brazil","08/25/2025 00:00:00"
"44","Customer 44","cust44@example.com","Canada","08/22/2025 00:00:00"
"45","Customer 45","cust45@example.com","Germany","08/19/2025 00:00:00"
"46","Customer 46","cust46@example.com","Denmark","08/16/2025 00:00:00"
"47","Customer 47","cust47@example.com","Spain","08/13/2025 00:00:00"
"48","Customer 48","cust48@example.com","Finland","08/10/2025 00:00:00"
"49","Customer 49","cust49@example.com","France","08/07/2025 00:00:00"
"50","Customer 50","cust50@example.com","United Kingdom","08/04/2025 00:00:00"
"51","Customer 51","cust51@example.com","India","08/01/2025 00:00:00"
"52","Customer 52","cust52@example.com","Italy","07/29/2025 00:00:00"
"53","Customer 53","cust53@example.com","Japan","07/26/2025 00:00:00"
"54","Customer 54","cust54@example.com","Mexico","07/23/2025 00:00:00"
"55","Customer 55","cust55@example.com","Netherlands","07/20/2025 00:00:00"
"56","Customer 56","cust56@example.com","Norway","07/17/2025 00:00:00"
"57","Customer 57","cust57@example.com","New Zealand","07/14/2025 00:00:00"
"58","Customer 58","cust58@example.com","Sweden","07/11/2025 00:00:00"
"59","Customer 59","cust59@example.com","United States","07/08/2025 00:00:00"
"60","Customer 60","cust60@example.com","South Africa","07/05/2025 00:00:00"
"61","Customer 61","cust61@example.com","Australia","07/02/2025 00:00:00"
"62","Customer 62","cust62@example.com","Belgium","06/29/2025 00:00:00"
"63","Customer 63","cust63@example.com","Brazil","06/26/2025 00:00:00"
"64","Customer 64","cust64@example.com","Canada","06/23/2025 00:00:00"
"65","Customer 65","cust65@example.com","Germany","06/20/2025 00:00:00"
"66","Customer 66","cust66@example.com","Denmark","06/17/2025 00:00:00"
"67","Customer 67","cust67@example.com","Spain","06/14/2025 00:00:00"
"68","Customer 68","cust68@example.com","Finland","06/11/2025 00:00:00"
"69","Customer 69","cust69@example.com","France","06/08/2025 00:00:00"
"70","Customer 70","cust70@example.com","United Kingdom","06/05/2025 00:00:00"
"71","Customer 71","cust71@example.com","India","06/02/2025 00:00:00"
"72","Customer 72","cust72@example.com","Italy","05/30/2025 00:00:00"
"73","Customer 73","cust73@example.com","Japan","05/27/2025 00:00:00"
"74","Customer 74","cust74@example.com","Mexico","05/24/2025 00:00:00"
"75","Customer 75","cust75@example.com","Netherlands","05/21/2025 00:00:00"
"76","Customer 76","cust76@example.com","Norway","05/18/2025 00:00:00"
